Destino,Und Negocio,Desripcion,Marca,Existencia,Minima,Costo,Precio Lista,Dscto  Corp,Dscto VIP
PC,Nail Bar,BRILLIANCE CAPA FINAL PARA UNNAS red carpet,Otros,2,1,0,0,0,0
PC,Nail Bar,BROCHAS DE ACRILICO,Otros,1,1,0,0,0,0
PC,Nail Bar,BROCHAS DE ACRILICO,Otros,2,1,0,0,0,0
PC,Hair Salon,brochas de tinte,Otros,2,1,0,0,0,0
PC,Nail Bar,BROCHAS PARA GEL Y ACRIGEL,Otros,3,1,0,0,0,0
PC,Nail Bar,BROCHAS PARA TINTE,Otros,3,1,0,0,0,0
PVC,SPA,C+C SYNERGY SERUM (SERUM ALISADOR E HIDRATANTE) 3X7ML,Bruno Vassary,2,1,44.00,60.46,54.41,51.69
PC,Hair Salon,CAJA DE GUANTES,Otros,1,1,0,0,0,0
PVC,SPA,CALMING DAY LOTION (FLUIDO HIDRATANTE CALMANTE) 50ML,Bruno Vassary,2,1,28.00,38.48,34.63,32.90
PC,Hair Salon,capa de niNNo,Otros,1,1,0,0,0,0
PC,Hair Salon,CAPA PLASTICA,Otros,3,1,0,0,0,0
PC,Hair Salon,capas de adulto,Otros,2,1,0,0,0,0
PC,Hair Salon,CASCO FIJADOR PARA PELO dermalia,Otros,1,1,0,0,0,0
PV,SPA,CELL ACTIVE EYE CONCENTRATE CONTORNO DE OJOS 15ML,Bruno Vassary,1,1,36.00,49.46,44.52,42.29
PVC,SPA,CELL ACTIVE EYE CONCENTRATE CONTORNO DE OJOS 15ML,Bruno Vassary,2,1,36.00,49.47,44.52,42.30
PVC,SPA,CELL ACTIVE LINELESS NIGHT CREAM CREMA DE NOCHE INTENSIVA 50ML,Bruno Vassary,2,1,57.00,78.32,70.49,66.97
PV,SPA,CELL ACTIVE RESTORATIVE FLUID 50ML,Bruno Vassary,2,1,57.00,78.32,70.49,66.96
PVC,SPA,CELL ACTIVE RESTORATIVE FLUID 50ML,Bruno Vassary,2,1,57.00,78.32,70.49,66.97
PC,Nail Bar,CEPILLO DE UNNAS,Otros,3,1,0,0,0,0
PC,SPA,cepillo facial,Otros,1,1,0,0,0,0
PC,Hair Salon,CEPILLOS ,Otros,2,1,0,0,0,0
PC,Hair Salon,cepillos planos,Otros,1,1,0,0,0,0
PV,Hair Salon,CHROMA RICHE DEEP REFLECT S/E 125ML,KERASTASE,4,1,25.90,41.92,37.72,35.84
PV,Hair Salon,CHROMA RICHE MASQUE 200ML,KERASTASE,2,1,42.70,69.11,62.19,59.09
PC,Hair Salon,churrero ondas 3 piezas,Otros,1,1,0,0,0,0
PVC,SPA,CLARIFYNG MILKY TONER (TONICO REGENERADOR ANTIEDAD) 200ML,Bruno Vassary,2,1,30.00,41.22,37.10,35.25
PVC,SPA,CLEANSING GEL LIMPIADOR PURIFICANTE 150ml,Bruno Vassary,1,1,23.00,31.60,28.44,27.02
PVC,SPA,CORRECTIVE CREAM CREMA IMPERFECCIONES LOCALES 50ML,Bruno Vassary,1,1,23.00,31.60,28.44,27.02
PC,Nail Bar,CORTAUNNAS,Otros,3,1,0,0,0,0
PC,Nail Bar,CORTAUNNAS  ,Otros,3,1,0,0,0,0
PC,Nail Bar,CORTAUNNAS GILLOTINA,Otros,3,1,0,0,0,0
PC,Hair Salon,CREAM CAMOUFLAGE,Otros,1,1,0,0,0,0
PVC,SPA,CREAMY CLEANSING FOAM JABON LIMPIADOR CON VIT C 150ML,Bruno Vassary,2,1,26.00,35.73,32.15,30.55
PVC,SPA,CREMA TERMO ACTIVA 200ML,Bruno Vassary,2,1,23.00,31.60,28.44,27.02
PC,Hair Salon,CROCHET,Otros,3,1,0,0,0,0
PC,Nail Bar,CRYSTAL,Otros,3,1,0,0,0,0
PC,Hair Salon,CUBRE OREJAS,Otros,3,1,0,0,0,0
PVC,SPA,DAILY CREAM ANTIFATIGA 50ML,Bruno Vassary,2,1,31.00,42.60,38.34,36.42
PVC,SPA,DAILY UV BRIGHTENING LOTION SPF 40 BLOQUEADOR ACLARANTE 40GR,Bruno Vassary,2,1,39.00,53.59,48.23,45.82
PV,SPA,deoxicocim mesoterapia,Otros,8,5,4.825,7.12,6.41,6.09
PC,Hair Salon,DELINEADOR DE LABIOS,Otros,3,1,0,0,0,0
PC,Hair Salon,delineador de ojos negro en gel,Otros,1,1,0,0,0,0
PV,Hair Salon,DENSIFIQUE CAPILAR 3*6ML VD50 AMPOLLAS CONCENTRADO TRANSPARENTE ampollas,KERASTASE,86,10,3.83,6.20,5.58,5.30
PC,Hair Salon,DIA ACTIVATEUR 9 VOL 1LITRO,LOREAL,0,2,12.6,0.00,0.00,0.00
PC,Hair Salon,DIA ACTIVATEUR 9 VOL 1LITRO,LOREAL,3,2,12.6,0.00,0.00,0.00
PC,Hair Salon,DIA LIGHT 9.02,LOREAL,5,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA LIGHT 9.11,LOREAL,2.5,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA LIGHT 9.13,LOREAL,2,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA LIGHT 9.13,LOREAL,5,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICH MILKSH 10.12,LOREAL,2,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICH MILKSH NACR 9.02 50ML V511,LOREAL,0.5,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 2.10,LOREAL,0.75,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 5.3 V511,LOREAL,2.75,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 5.32,LOREAL,1.875,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 6.13,LOREAL,4,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 6.23,LOREAL,1.875,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 6.35,LOREAL,2,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 7.13,LOREAL,1,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 7.13,LOREAL,2,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 7.23,LOREAL,2,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 7.23,LOREAL,3.25,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 8,LOREAL,4,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 8.13,LOREAL,2.75,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 8.13,LOREAL,8,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 8.31,LOREAL,0,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE 8.31,LOREAL,3,2,5.80,0.00,0.00,0.00
PC,Hair Salon,DIA RICHESSE CLEAR,LOREAL,3.75,2,5.80,0.00,0.00,0.00
PV,Hair Salon,DISC FLUIDISSIME SOIN INTEGRAL 150ML DISCIPLINE,KERASTASE,1,1,36.75,59.48,53.53,50.85
PC,Nail Bar,DISOLVENTE DE ESMALTE,Otros,2,1,0,0,0,0
PC,Hair Salon,DONAS PEINADOS,Otros,3,1,0,0,0,0
PC,Nail Bar,DUAL CLEAR UV POWDER ,Otros,2,1,0,0,0,0
PV,Hair Salon,ELIXIR BAIN ULT HUILE LAVANTE 250ML V267,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,ELIXIR ULTIME BB CREMA FINE 150ML,KERASTASE,2,1,28.70,46.45,41.80,39.71
PC,Nail Bar,empuja cuticula,Otros,1,1,1.875,0,0,0
PVC,SPA,ENZYME CLEANSING POWDER (POLVO LIMPIADOR ENZIMATICO) 50GR,Bruno Vassary,2,1,30.00,41.22,37.10,35.25
PC,Hair Salon,ESCOBILA SACA PELO,Otros,3,1,0,0,0,0
PC,Nail Bar,esmalte infine shine opi,Otros,1,1,0,0,0,0
PC,Nail Bar,ESMALTES,Otros,3,1,0,0,0,0
PC,Nail Bar,ESMALTES,essie,4,1,0,0,0,0
PC,Nail Bar,ESMALTES,opi,6,1,0,0,0,0
PC,Nail Bar,ESMALTES,essie,18,1,0,0,0,0
PC,Nail Bar,esmaltes infinite shine opi,Otros,10,1,0,0,0,0
PC,Nail Bar,ESMALTES LED NAIL GEL POLISH red carpet,Otros,14,1,0,0,0,0
PC,Nail Bar,esmaltes normales opi,Otros,12,1,0,0,0,0
PC,Nail Bar,ESMALTES OPI,Otros,4,1,0,0,0,0
PC,Nail Bar,ESMALTES OPI GEL FRIO,Otros,3,1,0,0,0,0
PC,Nail Bar,ESTERILIZADOR dermalia,Otros,1,1,0,0,0,0
PVC,SPA,EYE LIFT OX 15ML,Bruno Vassary,2,1,39.00,53.59,48.23,45.82
PV,SPA,EYE SOME GEL CONTORNO DE OJOS CON VIT C 15ML,Bruno Vassary,2,1,27.00,37.10,33.39,31.72
PVC,SPA,EYE SOME GEL CONTORNO DE OJOS CON VIT C 15ML,Bruno Vassary,2,1,27.00,37.10,33.39,31.72
PC,Hair Salon,EYEPOWDER PEN,Otros,1,1,0,0,0,0
PC,Hair Salon,for men 2en1,Otros,1,1,0,0,0,0
PC,Nail Bar,FORMAGEL UV PINK BUILDER,Otros,2,1,0,0,0,0
PC,Nail Bar,FOUNDATION GEL DE REMOCION gelish,Otros,1,1,0,0,0,0
