131;Palanda;-4.651369;-79.130788;14
132;Zamora;-4.062156;-78.947625;14
133;Paquisha;-3.932514;-78.675188;14
134;Nangaritza;-4.309606;-78.718793;14
135;Yacuambi;-3.611589;-78.966431;14
136;Junín;-0.927982;-80.206482;15
137;Pichincha;-1.044357;-79.822712;15
138;Paján;-1.552187;-80.427475;15
139;Montecristi;-1.046883;-80.657265;15
140;Santa Ana;-1.206948;-80.369969;15
141;Puerto López;-1.553688;-80.805204;15
142;Manta;-0.96831;-80.710202;15
143;Flavio Alfaro;-0.404555;-79.905497;15
144;Pedernales;0.072913;-80.050356;15
145;Chone;-0.713737;-80.107772;15
146;Portoviejo;-1.053937;-80.446538;15
147;Jaramijó;-0.956818;-80.637074;15
148;24 de Mayo;-0.957853;-80.743101;15
149;Olmedo;-1.394385;-80.205582;15
150;San Vicente;-0.604666;-80.403485;15
151;Bolívar;-1.236134;-80.812408;15
152;Sucre;-1.27817;-80.424042;15
153;Tosagua;-0.783953;-80.232983;15
154;Jipijapa;-1.352652;-80.583386;15
155;Rocafuerte;-0.923026;-80.450842;15
156;El Carmen;-0.271267;-79.465442;15
157;Jama;-0.20432;-80.264375;15
158;Portovelo;-3.717163;-79.612813;16
159;Chilla;-3.457306;-79.579747;16
160;El Guabo;-3.236754;-79.81885;16
161;Zaruma;-3.687228;-79.610109;16
162;Marcabelí;-3.784455;-79.911622;16
163;Santa Rosa;-3.45979;-79.967766;16
164;Huaquillas;-3.476668;-80.221986;16
165;Piñas;-3.680418;-79.682293;16
166;Las Lajas;-3.78552;-80.063376;16
167;Arenillas;-3.555826;-80.065527;16
168;Balsas;-3.759666;-79.823463;16
169;Machala;-3.257716;-79.956467;16
170;Pasaje;-3.325956;-79.804173;16
171;Atahualpa;-3.590649;-79.658175;16
172;Nabón;-3.336058;-79.064044;17
173;Santa Isabel;-3.27613;-79.314745;17
174;Girón;-3.158393;-79.146752;17
175;Sígsig;-3.050975;-78.795576;17
176;Camilo Ponce Enríquez;-3.062614;-79.742722;17
177;Gualaceo;-2.886273;-78.776307;17
178;Guachapala;-2.768232;-78.712599;17
179;Sevilla de Oro;-2.798212;-78.654867;17
180;El Pan;-2.786454;-78.664706;17
181;Paute;-2.795503;-78.767531;17
182;San Fernando;-3.145602;-79.256231;17
183;Pucará;-3.220062;-79.469743;17
184;Chordeleg;-2.926937;-78.777144;17
185;Oña;-3.469859;-79.153887;17
186;Cuenca;-2.900669;-79.005002;17
187;La Maná;-0.933298;-79.231263;18
188;Latacunga;-0.931129;-78.605127;18
189;Pangua;-0.929543;-78.62582;18
190;Pujilí;-0.958255;-78.696227;18
191;Sigchos;-0.697271;-78.890419;18
192;Salcedo;-1.042356;-78.58984;18
193;Saquisilí;-0.822422;-78.668332;18
194;Atacames;0.868006;-79.846246;19
195;Muisne;0.610824;-80.019543;19
196;Rioverde;1.059879;-79.40327;19
197;Quinindé;0.326841;-79.463167;19
198;Esmeraldas;0.968155;-79.649484;19
199;San Lorenzo;1.269332;-78.843856;19
200;Eloy Alfaro;0.965914;-79.655299;19
201;Santa Cruz;-0.633301;-90.336896;20
202;San Cristóbal;-0.861997;-89.436718;20
203;Isabela;-0.809473;-91.132497;20
204;Salinas;-2.223211;-80.957721;21
205;Santa Elena;-2.267523;-80.73075;21
206;La Libertad;-2.230788;-80.900874;21
207;Sucumbíos;0.086941;-76.887614;22
208;Lago Agrio;0.099871;-76.866581;22
209;Cascales;0.079755;-77.21075;22
210;Cuyabeno;0.077253;-76.885079;22
211;Gonzalo Pizarro;0.016477;-77.378329;22
212;Putumayo;-0.058796;-75.458312;22
213;Shushufindi;-0.186059;-76.659186;22
214;La Concordia;0.009098;-79.391971;23
215;Santo Domingo;-0.240153;-79.176064;23
216;Mira;0.550188;-78.040802;24
217;Tulcán;0.8149;-77.716727;24
218;Bolívar;0.506287;-77.901628;24
219;Huaca;0.632023;-77.726984;24
110;Chunchi;-2.289771;-78.920084;11
111;Cumandá;-2.202782;-79.13683;11
112;Alausí;-2.199236;-78.846173;11
18;Chaguarpamba;-3.878352;-79.646094;2
222;Pelileo;-1.325054;-78.538115;3
223;Píllaro;-1.174253;-78.54347;3
220;Espejo;0.506287;-76.901628;24
221;Montúfar;0.565147;-77.772194;24
